code|experiment|objective|sponsors|design|plots
94/R/BK/1|BROADBALK| To study the effects of organic and inorganic manures on continuous w. wheat. From 1968 two three-year rotations were included: potatoes, beans, w. wheat and fallow, w. wheat, w. wheat.  In 1979 the first retation was changed to fallow, potatoes, w. wheat. In 1980 the second rotation reverted to continuous w. wheat. Since 1985 part of the second rotation has been added to the first to extend the rotation to fallow, potatoes, w. wheat, w. wheat, w. wheat.  The 151st year, w. wheat, fallow, potatoes.  For previous years see ‘Details' 1967 and 1973, Station Report for 1966, pp. 229-231, Station Report for 1968, Part 2, Station Report for 1982, Part 2, pp. 5-44 and 74-93/R/BK/1. |||  Wheat: Section a 0.00351 1 0.00645 2,3,5 and 6 0.00533 9 0.00561 Potatoes: 7 0.00348
94/R/HB/2|HOOS BARLEY| To study the effects cof organic and inorganic manures on continuous s. barley. From 1968 to 1978 a rotation of potatoes, beans and s. barley was practised. The rotation was discontinued in 1979 and the experiment reverted to continuous s. barley.  The 143rd year, s. barley.  For previous years see ‘Details’ 1967 and 1973, Station Report for 1966 an@d 74-93/R/HB/2. |||
94/R/WF/3|WHEAT AND FALLOW| To study the effects of fallowing on unmanured w. wheat - Hoosfield.  The 139th year, w. wheat.  For previous years see ‘Details’ 1967, 1973 and 74-33/R/WF/3.||| 9.0 x 211. 
94/R/EX/4|EXHAUSTION LAND| To study the residual effects of manures applied 1876-1961, and of additional phosphate applied since 1986, on the yield of continueous s. barley up to 1991, w. wheat since - Hoosfield. The 139th year, w. wheat. For previous years see ‘Details’ 1967, 1973 and 74-93/R/EX/4. |||
94/R/PG/5|PARK GRASS| To study the effects cf organic and inorganic manures and lime on old grass (for hay).  The 139th year, nay. For previous years see ‘Details’ 1967 and 1973 and 74-93/R/PG/5.|||
94/R/BN/7|BARNFIELD| The experiment was designed to study the effects of organic and inorganic manures on continuous reot crops. It was progressively  modified te study effects on other crops.  Sections l and 2 the llth year of grass/clover. The 20th year of grass on the rest of the experiment.  For previous years see ’Details’ 1967 and 1973 and 74-93/R/BN/?.||| 10.7 x 55.9.
94/R/GC/8|GARDEN CLOVER| To study yields and pathogens of red clover grown continuously ~- Manor Garden.  The 141st year, red clover. For previcus years see ‘Details’ 1967 and 1973, and 74-93/R/GC/8.|| 2 blocks of 2 plots. | 1.00 x 1.40. 
94/W/RN/3|LEY /ARABLE| To compare the effects on soil fertility of rotations with or without leys - Woburn, Stackyard D. | P.R. Poulton.  The 57th year, leys, w. beans, w. wheat, w. rye, s. barley.  For previous years see ‘Details' 1967 & 1973 and 74-93/W/RN/3. | 5 series of 8 plots, split for treatments other than rotations.| $.53 x 40.7. 
94/W/RN/12|ORGANIC MANURING| To study, from crop yields and soil analyses, the effects of a range of types of organic matter - Woburn, Stackyard B. | P.R. Poulton.  The 20th year, w. wheat.  For previous years see ‘Details’ 1973 and 74-93/W/RN/12.| 4 blocks of 8 plots split into 6 sub-plots.| @.0 = 30.5. 
94/R/CS/10 and 94/W/CS/10|LONG TERM LIMING| To study the effects of different amounts of lime, phosphate and  sulphur on the yields and compositions of a sequence of crops -  Rothamsted (R) Sawyers I and Woburn (W) Stackyard Cc.| S.P. McGrath, P.B. Barraclough, G.F.J. Milford, J.M. Day. The 33rd year, w. lupins. For previous years see ‘Details’ 1967, 1973 and 74-93/R&W/CS/10.| 2 randomised blocks of 16 plots split into 2 sub-plots.| 5.8 x 16.1 {R), 5.6 x 16.1 (WwW).
